@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data
'unexpectedly ran out data ',negative
'usenamedvalues ',negative
'happening the production version google app engine coming out the restricted class ',negative
'removing the attribute respectively appropriate ',negative
'did the handler return view render ',negative
'use factory bean for the resources they can given order pattern used ',negative
'register custom methodfilter ',negative
'implementation the fieldvisitor abstract class ',negative
'leniently match first line due differences between jdk and jdk ',negative
'start new current basic block and reset the current and maximum relative stack sizes ',negative
'attribute null ',negative
'jdk default http client blacklist headers like origin ',negative
'lastmodified timestamp file will just read caching with timeout ',negative
'root still null ',negative
'complete the control flow graph with exception handler blocks ',negative
'property editor that converts string into link the transaction attribute string must parseable the link this package pstrings are property syntax with the formbr code attribute stringgt pfor examplebr code pbnoteb the specified class must the one where the methods are defined case implementing interface the interface class name pnote will register all overloaded methods for given name does not support explicit registration certain overloaded methods supports xxx mappings notify for notify and notifyall author rod johnson author juergen hoeller since see ',negative
'return true the parameter name binding for the given parameter index has not yet been assigned ',negative
'spr ',negative
'serializable type wrapping necessary for javalangclass ',negative
'simple ctor ',negative
'spr ',negative
'getobject method shouldnt happen but long nobody trying call ',negative
'ignore need check resolvable type for manually registered singleton ',negative
'second one bogus ',negative
'compute the offset and the length the bootstrapmethods bootstrapmethods array ',negative
'create template for clientside jndi lookup ',negative
'consider prebound connection transaction ',negative
'find introduction fields ',negative
'set parameter names exclude use for any not listed ',negative
'spr and spr ',negative
'value array containing truefalse ',negative
'gets additional calls from transactioncontrol ',negative
'note while you might expect the main key have been updated hasnt cacheable operations are only processed case cache miss this why combining cacheable with cacheput very bad idea could refine the condition now that can figure out are going invoke the method anyway but that brings whole new set potential regressions ',negative
'the instruction after the gotow becomes the target the ifnot instruction ',negative
'jpa api available but method not actually implemented persistence provider falling back regular createentitymanager method ',negative
'the original locations classes were not empty theres need bother with default detection checks just let the appropriate loader process the configuration ',negative
'reset previous status values ',negative
'not directly implemented ',negative
'note the xml bean definition for enigma always wins since lets xml bean definitions override those discovered later via bean method ',negative
'counter then the method got called twice ',negative
'check for tomcats new first ',negative
'convenience factory methods ',negative
'not proxy this should not have changed ',negative
'methods manage line numbers ',negative
'ref method ',negative
'weve found the start binding pointcut the given index into the token array now need extract the pointcut body and return ',negative
'prepare broadcast message from remote server ',negative
'special case uri different from servlet path ',negative
'load properties from file upfront let local properties override ',negative
'keys the properties object are sorted ',negative
'must fail annotation isnt inherited ',negative
'uninitialized let postprocessors apply them ',negative
'varargs conversion but varargs ',negative
'initialize routematcher before parent initializes handler mappings ',negative
'verify that the and synthesized annotation are equivalent ',negative
'get here just pass the invocation ',negative
'report all connect failures the handler postconnect issues ',negative
'second argument not used see config ',negative
'varargs with conversion required ',negative
'now lets try with the special target ',negative
'add attribute for transactional method pmethod names can exact matches the pattern xxx xxx xxx for matching multiple methods param methodname the name the method param attr attribute associated with the method ',negative
'todo spr spr ',negative
'list lcurly element comma element rcurly ',negative
'bind the thread now since its created ',negative
'count minus duplicate ',negative
'included rangestartrangeend remove firsthandler ',negative
'add attribute for cacheable method pmethod names can exact matches the pattern xxx xxx xxx for matching multiple methods param methodname the name the method param ops operation associated with the method ',negative
'was roleapplication now overriding with rolesupport roleinfrastructure ',negative
'value springappconfig should not override value contextconfig ',negative
'going perform refresh check update the timestamp ',negative
'second pass look for parameter index match ',negative
'array ',negative
'dont clever for arrays null target ',negative
'see ',negative
'apply transaction name any weblogic transaction ',negative
'declare binding disabled via modelattribute method ',negative
'retrieve existing registry ',negative
'use given numberformat for parsing text ',negative
'not empty drop through elsetarget ',negative
'not allowed access nonpublic methods fallback check locally declared public methods only ',negative
'property access ',negative
'declared superclass ',negative
'start async before readwritelistener registration ',negative
'typereference type which cant used code attribute which unknown ',negative
'clear thread callbacks allow them gcd ',negative
'nothing xhr transports check session disconnected ',negative
'spr ',negative
'use properties editor tokenize the hold string ',negative
'for all them ',negative
'removes all headers provided via array headerpatterns the name suggests the array may contain simple matching patterns for header names supported pattern styles are xxx xxx xxx and xxxyyy ',negative
'will perform this validation ',negative
'this will work the local resolver set ',negative
'the jdk does not contain default editors for number wrapper types ',negative
'implementation the spring interface ',negative
'put object with null property the end the sort result ',negative
'has the singleton object implicitly appeared the meantime yes proceed with since the exception indicates that state ',negative
'non existent indexer wibble made ',negative
'failed prior fix for spr ',negative
'spr ',negative
'let subclasses whatever initialization they like ',negative
'now safe check beforesubscribed flags they wont change once nodemand ',negative
'udp ',negative
'note the mru entry moved the tail when accessed ',negative
'check inserts match ',negative
'invoke transactional method causing the bean resolved ',negative
'declared type variables inspect ',negative
'jacksoncodecsupport ',negative
'sanity test that can reflectively read annotations including class attributes not fall back asm ',negative
'code valid default ',negative
'other functionality ',negative
'rxjava single ',negative
'see ',negative
'found matching targetsource ',negative
'cannot evaluated cant readable ',negative
'characters for var characters for var ',negative
'create the connector server now ',negative
'was myhandle ',negative
'fall back class name cache key for backwards compatibility with custom callers ',negative
'toplevel bean use plain class name with unique suffix necessary ',negative
'extracted value does not match already try convert ',negative
'check for match ancestors positive ',negative
'spr ',negative
'hibernate getflushmode with flushmode return type ',negative
'first code valid ',negative
'shouldnt custom translate this invalid class ',negative
'try explicitly synchronize the entitymanager itself with ongoing jta transaction any ',negative
'the element description ignore ',negative
'',negative
'multicast right now possible lazily once the multicaster initialized ',negative
'spr ',negative
'now repeat with get ',negative
'section the jvms states every constantclassinfo entry the constantpool table which represents class interface that not package member must have exactly one corresponding entry the classes array avoid duplicates keep track the info field the symbol each constantclassinfo entry whether inner class entry has already been added for store the index this inner class entry plus one ',negative
'add property values based autowire type applicable ',negative
'general exception counter which total for all exceptions thrown ',negative
'determine default html escape setting from the defaulthtmlescape ',negative
'shouldnt happen probably result circular reference resolution ',negative
'unmarshalling ',negative
'evaluates wireless communication ',negative
'static factory method ',negative
'rsocketstrategies and rsocketfactory configurers should have been called ',negative
'rfc ',negative
'replace the request context with one containing the errors ',negative
'the config classes that imported this one were all skipped therefore are skipped ',negative
'inbound mapping ',negative
'just subscribe without requesting ',negative
'but should still find classes ',negative
'continue with the possible next task element ',negative
'ordered priority operands first ',negative
'failed introspect target method probably because has been loaded special classloader lets try the declaring classloader instead ',negative
'fallback target bean least found bean name ',negative
'spring patch end ',negative
'spr ',negative
'note that need applicationcontext not just beanfactory for postprocessing and hence autoproxying work ',negative
'ignore ',negative
'store the offset signatureindex and the value index and startpc ',negative
'convenience finder methods for named queries ',negative
'give ',negative
'note the following multiline layout for enhanced code readability ',negative
'like spring security does ',negative
'otherwise just ignore and continue ',negative
'for subclasses nothing default ',negative
'cachevalue ',negative
'special case required type specified which usually only happens for collection elements required type not assignable registered type which usually only happens for generic properties type object then return propertyeditor not registered for collection array type not registered for collection array assumed intended for elements ',negative
'expose the form object name for nested tags ',negative
'see ',negative
'testing some behavior ',negative
'ensure that the type variable declared directly the method itself via not the enclosing class interface ',negative
'jibx compiler currently not compatible with jdk ',negative
'trailing slash ',negative
'test matching with and ',negative
'type references ',negative
'spr ',negative
'lifecycle ',negative
'convenient methods for registering individual beans ',negative
'try pebased comparison should not allowed escape creating thread ',negative
'the offset the nestmembers attribute ',negative
'quoted dotted ',negative
'already validated the parameter above ',negative
'none these sets are possible due expected conversion problems ',negative
'act ',negative
'now fastforward minutes ',negative
'revert old position ',negative
'java use octal value for ascii char ',negative
'compilermode ',negative
'for backwards compatibility ',negative
'server was provided then try find one this useful environment where there already mbeanserver loaded ',negative
'inner classes used internal adapters ',negative
'avoid creation target connection preclose cleanup hibernate session ',negative
'release connection suspend the application doesnt keep handle anymore will fetch fresh connection the application accesses the connectionholder again after resume assuming that will participate the same transaction ',negative
'empty context path root context should not match url with context path ',negative
'add introduction that implements only the methods scopedobject ',negative
'nested property cannot read simply return null similar jstl the property doesnt exist the first place let the exception through ',negative
'physically remove and close leaf nodes first the way back the ',negative
'synchronization necessary ',negative
'comparator new comparator ',negative
'using nested formoption tags just expose the value the pagecontext ',negative
'access int array ',negative
'expose remaining arguments vararg array for last parameter ',negative
'only need this wrap bytebufs ',negative
'only stringbased multivaluemap ',negative
'setting values ',negative
'instance state ',negative
'toplevel empty variable scope ',negative
'then convert here ',negative
'queue gets created order create messageconsumer for that destination ',negative
'spr set callbacks directly the instance instead the enhanced class via the enhancer order avoid memory leaks ',negative
'',negative
'spr ',negative
'call coming through infrastructureproxy interface ',negative
'spr ',negative
'ensure internal list mutable ',negative
'spr ',negative
'definitely doesnt match throw ',negative
'needs the sundays compiler must not throw any exception here ',negative
'spr ',negative
'basic ',negative
'case factorybean try match factorybean instance itself next ',negative
'the bootstrapmethods attribute read the constructor ',negative
'which might give indication the desired target type ',negative
'make sure bean class actually resolved this point and clone the bean definition case dynamically resolved class which cannot stored the shared merged bean definition ',negative
'static method one parameter primitive type ',negative
'probably streaming request lets simply ignore ',negative
'visit the attribute ',negative
'',negative
'target type declared raw enum treat the trimmed value enumfqnfieldname ',negative
'comparison date uses httpheaders format the date the error message ',negative
'fall back implicit database name based the ',negative
'should set specific isolation level but are not allowed ',negative
'register and start immediately ',negative
'else compare the inner classes entry namesymbolinfo with the arguments this method and throw exception there difference ',negative
'reply listener for ',negative
'spr ',negative
'not running applicationcontext register tasks early ',negative
'prepare taskexecutor and maxmessagespertask ',negative
'rowset navigation methods ',negative
'spr ',negative
'proceed with standard resource location parsing ',negative
'have nested annotations need them nested maps ',negative
'kotlin module ',negative
'null model arguments added without name being explicitly supplied are not allowed ',negative
'these are only checked for current ctx not parent ctx ',negative
'check all puts have been excluded condition ',negative
'delegation ',negative
'private methods for use from states ',negative
'methods parse stack map frames ',negative
'and the path data has run out too ',negative
'treat like property ',negative
'add argument resolver before parent initializes argument resolution ',negative
'contrast nested test classes running junit the foo field the outer instance should have been injected from the test applicationcontext for the outer instance ',negative
'the child classloader used load the compiled expression classes ',negative
'unknown number subtype best guess double increment ',negative
'search for taskexecutor bean not plain executor since that would match with well which unusable for our purposes here taskexecutor more clearly designed for ',negative
'custom typeconverter which does not support typedescriptor resolution ',negative
'release connection early avoid potential connection pool deadlock the case when the exception translator hasnt been initialized yet ',negative
'reset all bean definitions that have the given bean parent recursively ',negative
'return unmodifiable snapshot avoid while iterating and invoking synchronization callbacks that turn might register further synchronizations ',negative
'empty holder representing not valid ',negative
'spr ',negative
'parameters used for optimization choices ',negative
'string concatenation ',negative
'rely default serialization although this class itself doesnt carry state anyway ',negative
'spr ',negative
'create proxy here have custom targetsource suppresses unnecessary default instantiation the target bean the targetsource will handle target instances custom fashion ',negative
'the offset the annotationdefault attribute ',negative
'',negative
'add new ',negative
'also check chain sqlexceptions also allow chain translators default cant specific ',negative
'calling foostring with string exact match ',negative
'same for blob ',negative
'between are the constructor args ',negative
'the metaannotation should have been loaded the parent ',negative
'todo test with expression for serverwebexchange ',negative
'create local schedulerfactory instance typically stdschedulerfactory ',negative
'not initialize factorybeans here need leave all regular beans uninitialized let the autoproxy creator apply them ',negative
'name schema for this context ',negative
'other properties specified check bean name ',negative
'shutdown hook registered yet ',negative
'empty params ',negative
'empty path ',negative
'just test asms bytecode parsing invokespecialstatic interfaces ',negative
'bean name will cause accessexception ',negative
'not check the expected position due change regex parsing jdk see ',negative
'not found parent either ',negative
'register accessor that can understand and return the right person ',negative
'were all set find the unbound parameter and bind ',negative
'they are reusable ',negative
'spr ',negative
'serialization methods ',negative
'the first case should not retry the second case should see there better suited method ',negative
'check its unchanged ',negative
'but all params are available ',negative
'spr ',negative
'servlet ',negative
'since ',negative
'placeholders nested within the value are unresolvable and cause ',negative
'fetch rmi registry expose ',negative
'class path resource pattern ',negative
'spr ',negative
'this case should happen only once for the visitlabel call the constructor indeed compute equal currentbasicblock stays unchanged ',negative
'adding new property accessor just for particular type ',negative
'fallback target bean least found bean name probably manually registered singleton ',negative
'invocations reentrant call spouse advised also ',negative
'passing integerstring call integerstring exact match ',negative
'note fields are ordered the fieldinfo structure and those related attributes are ordered section the jvms ',negative
'test ',negative
'adding cookie should result cookies ',negative
'not create the node does not exist ',negative
'spr ',negative
'call each validator with the same binding result ',negative
'get the key ',negative
'skip flight ',negative
'there couple mappings defined with which can test the path matching lets that ',negative
'changing target ',negative
'servletresponse properties ',negative
'simply return the configured scriptengine ',negative
'arraybased vars rely the below order ',negative
'spring bean names are less restrictive compared aspectj names methods types etc mvc controllerkind ',negative
'convert remaining arguments the varargs element type ',negative
'should not called since return false for canreadclass ',negative
'returns accept header ',negative
'just optional for getting specifically configured typeconverter needed well simply fall back simpletypeconverter specific one available ',negative
'foobar the start ',negative
'case factorybean try match factorybean itself next ',negative
'note not actually invoked within transaction since the test class annotated with notsupported ',negative
'all other tests are superclass ',negative
'exceed send time ',negative
'from sharing the underlying jdbc connection which typically gets committed first with oracle ignore ',negative
'access float array ',negative
'spr ',negative
'filter out beanpostprocessors that are part the aop infrastructure ',negative
'',negative
'create jdbcconnectionspec using current isolation level value and readonly flag ',negative
'return the scoped proxy definition primary bean definition ',negative
'last ',negative
'leave stack trace for later error not handled ',negative
